route_id,agency_id,route_short_name,route_long_name,route_type
800166RB43,00181,RB43,Regionalbahn RB43,2
800166RB49,00181,RB49,Regionalbahn RB49,2
800166RE10,00181,RE10,Regionalexpress RE10,2
800166RE11,00181,RE11,Regionalexpress RE11,2
800413RB113,800413,RB113,Regionalbahn RB113,2
800445S11,800445,S11,S-Bahn S11,109
800456RE50,800456,RE50,Regionalexpress RE50,2
800486S5X,800486,S5X,S-Bahn S5X,109
800486S1,800486,S1,S-Bahn S1,109
800486S10,800486,S10,S-Bahn S10,109
800486S3,800486,S3,S-Bahn S3,109
800486S4,800486,S4,S-Bahn S4,109
800486S5,800486,S5,S-Bahn S5,109
800486S6,800486,S6,S-Bahn S6,109
800489RE30,800489,RE30,Regionalexpress RE30,2
8004A9RB51,8004A9,RB51,Regionalbahn RB51,2
8004A9RE13,8004A9,RE13,Regionalexpress RE13,2
8004A9RE14,8004A9,RE14,Regionalexpress RE14,2
8004A9S2,8004A9,S2,S-Bahn S2,109
8004A9S47,8004A9,S47,S-Bahn S47,109
8004A9S8,8004A9,S8,S-Bahn S8,109
8004A9S9,8004A9,S9,S-Bahn S9,109
8004NTRE1,00184,RE1,Regionalexpress RE1,2
8004NTRE3,00184,RE3,Regionalexpress RE3,2
AMRB__RB20,00628,RB20,,2
AMRB__RB25,00628,RB25,,2
AMRE__RE15,00674,RE15,,2
AMRE__RE16,00674,RE16,,2
AMRE__RE8,00674,RE8,,2
AMRE__RE9,00674,RE9,,2
AMS___S7,00748,S7,,109
AM____RB20,00010,RB20,,3
AM____RB25,00010,RB25,,3
AM____RE9,00010,RE9,,3
AM____S7,00010,S7,,3
BB____RE3,00181,RE3,,3
BB____RE4,00181,RE4,,3
BB____RE7,00181,RE7,,3
BLK___101,00092,101,,3
BLK___R101,00092,101,,715
BLK___102,00092,102,,3
BLK___103,00092,103,,3
BLK___R103,00092,103,,715
BLK___201,00092,201,,3
BLK___202,00092,202,,3
BLK___203,00092,203,,3
BLK___204,00092,204,,3
BLK___R204,00092,204,,715
BLK___205,00092,205,,3
BLK___R205,00092,205,,715
BLK___206,00092,206,,3
BLK___207,00092,207,,3
BLK___208,00092,208,,3
BLK___209,00092,209,,3
BLK___301,00092,301,,3
BLK___302,00092,302,,3
BLK___303,00092,303,,3
BLK___500,00092,500,,3
BLK___R500,00092,500,,715
BLK___601,00092,601,,3
BLK___R601,00092,601,,715
BLK___602,00092,602,,3
BLK___R602,00092,602,,715
BLK___603,00092,603,,3
BLK___R603,00092,603,,715
BLK___604,00092,604,,3
BLK___R604,00092,604,,715
BLK___605,00092,605,,3
BLK___R605,00092,605,,3
BLK___606,00092,606,,3
BLK___R606,00092,606,,715
BLK___607,00092,607,,3
BLK___608,00092,608,,3
BLK___610,00092,610,,3
BLK___R610,00092,610,,715
BLK___R611,00092,611,,715
BLK___611,00092,611,,3
BLK___613,00092,613,,3
BLK___614,00092,614,,3
BLK___615,00092,615,,3
BLK___R615,00092,615,,715
BLK___616,00092,616,,3
BLK___R616,00092,616,,715
BLK___618,00092,618,,3
BLK___R618,00092,618,,715
BLK___620,00092,620,,3
BLK___R620,00092,620,,715
BLK___621,00092,621,,3
BLK___R621,00092,621,,715
BLK___622,00092,622,,3
BLK___623,00092,623,,3
BLK___R623,00092,623,,715
BLK___629,00092,629,,3
BLK___630,00092,630,,3
BLK___631,00092,631,,3
BLK___633,00092,633,,3
BLK___R633,00092,633,,715
BLK___634,00092,634,,3
BLK___R634,00092,634,,715
BLK___636,00092,636,,3
BLK___777,00092,777,,3
BLK___778,00092,778,,3
BLK___R778,00092,778,,3
BLK___780,00092,780,,3
BLK___R780,00092,780,,3
BLK___781,00092,781,,3
BLK___R781,00092,781,,715
BLK___782,00092,782,,3
BLK___R782,00092,782,,715
BLK___783,00092,783,,3
BLK___R783,00092,783,,715
BLK___784,00092,784,,3
BLK___785,00092,785,,3
BLK___R785,00092,785,,715
BLK___786,00092,786,,3
BLK___R786,00092,786,,715
BLK___792,00092,792,,3
BLK___R792,00092,792,,715
BLK___793,00092,793,,3
BLK___R793,00092,793,,715
BLK___794,00092,794,,3
BLK___R794,00092,794,,715
BLK___796,00092,796,,3
BLK___R796,00092,796,,3
BLK___797,00092,797,,3
BLK___R797,00092,797,,715
BLK___798,00092,798,,3
BLK___800,00092,800,,3
BLK___R800,00092,800,,715
BLK___801,00092,801,,3
BLK___R801,00092,801,,715
BLK___802,00092,802,,3
BLK___R802,00092,802,,715
BLK___804,00092,804,,3
BLK___R804,00092,804,,715
BLK___805,00092,805,,3
BLK___R805,00092,805,,3
BLK___806,00092,806,,3
BLK___R806,00092,806,,3
BLK___807,00092,807,,3
BLK___R807,00092,807,,715
BLK___808,00092,808,,3
BLK___811,00092,811,,3
BLK___R811,00092,811,,3
BLK___816,00092,816,,3
BLK___R816,00092,816,,715
BLK___817,00092,817,,3
BLK___R817,00092,817,,715
BLK___818,00092,818,,3
BLK___R818,00092,818,,3
BLK___820,00092,820,,3
BLK___821,00092,821,,3
BLK___R821,00092,821,,715
BLK___R822,00092,822,,715
BLK___822,00092,822,,3
BLK___823,00092,823,,3
BLK___R823,00092,823,,715
BLK___824,00092,824,,3
BLK___R824,00092,824,,715
BLK___825,00092,825,,3
BLK___R825,00092,825,,3
BLK___826,00092,826,,3
BLK___828,00092,828,,3
BLK___R828,00092,828,,715
BLK___830,00092,830,,3
BLK___R830,00092,830,,3
BLK___836,00092,836,,3
BLK___R836,00092,836,,715
BLK___840,00092,840,,3
BLK___R840,00092,840,,3
BLK___841,00092,841,,3
BLK___R841,00092,841,,715
BLK___842,00092,842,,3
BLK___R842,00092,842,,715
BLK___845,00092,845,,3
BLK___R845,00092,845,,715
BLK___847,00092,847,,3
BLK___R847,00092,847,,3
BLK___848,00092,848,,3
BLK___R848,00092,848,,715
BLK___850,00092,850,,3
BLK___R850,00092,850,,715
BLK___851,00092,851,,3
BLK___R851,00092,851,,3
CXRB__RB110,00631,RB110,,2
CXRB__RB45,00631,RB45,,2
CXRE__RE6,00677,RE6,,2
CXRE__RE6E,00677,RE6E,,2
